vocab_id,en_vocab,zh_vocab
1,ability,"ability U能力,才智;C能力,才智"
2,accident,"accident 事故,意外事件,車禍;意外,偶然"
3,accordingly,"accordingly (ad.)因此,於是,如前所說,相應地"
4,actually,"actually (ad.)事實上,如今,現在"
5,adjustment,"adjustment 調整,調節,校正"
6,advanced,"Advanced (a.)高等的,在前的,年老的,先進的"
7,advise,"advise (vt.)勸告,通知,與…商量,建議(vi.)提意見,商量"
8,agree,"agree (vi.)同意,贊成,承認適合(vt.)同意"
9,airline,airline 航線;航空公司
10,amend,"amend (vt.)修正,改善,改良(vi.)改過自新"
11,annoying,"annoying (a.)惱人的,討厭的"
12,appetizer,"appetizer 開胃食品,開胃物"
13,appointment,"appointment U任命,選派;C職位;C約會,約定,約"
14,approach,"approach (vt.)向…靠近;與…打交道(vi.)靠近,臨近方法,途徑;靠近,臨近,接近"
15,argue,"argue (vi.)爭辯,爭論,辯論(vt.)辯論,爭論;說服;用辯論說明;表明,証明"
16,assets,"assets 資產,財產"
17,attach,"Attach (vt.)使…附屬於…,把…附加在…,系上,縛上,使依附"
18,audience,"audience 聽眾,觀眾,讀者;謁見,接見;傾聽,聽取"
19,avoid,"avoid (vt.)避免,躲避,回避"
20,abroad,"abroad (ad.)到國外,在海外;到處"
21,accommodate,"accommodate (vt.)使適應,調節,和解,容納(vi.)適應"
22,accounting,"accounting 會計學,清算帳目"
23,adapt,"adapt (vt.)使適應,使適合;改編,改寫(vi.)適應"
24,administration,"administration U管理,經營;C行政,行政機關,政府"
25,advantage,"advantage 長處,好處,優點,優勢,利益,有利條件"
26,affect,"affect (vt.)影響,妨害,感動,感染,感動;假裝,冒充;常去…"
27,agreeable,"agreeable (a.)適意的,愉快的;一致的,符合的,適合的"
28,aisle,"aisle 走廊,通道,過道"
29,amount,"amount U總數,總額;C數量(vi.)合計,總共達"
30,annual,"annual 年刊,年報(a.)一年一次的,年年的,一年生的"
31,appliance,"appliance 器具,用具,器械"
32,appreciable,"appreciable (a.)可感知的,可評估的"
33,appropriate,"appropriate (a.)適當的,合適的撥出,挪用,盜用"
34,argument,"argument 爭論,辯論,爭辯,爭執"
35,assign,"assign (v.)賦值DOS命令:將驅動器符重指向第二個驅動器符(vt.)分配,指派"
36,attachment,"Attachment 附件,附屬物"
37,audit,"audit 稽核,查帳(vt.)稽核,旁聽(vi.)查賬"
38,awareness,"awareness 意識,明白,知覺"
39,absolutely,"absolutely (ad.)完全地,絕對地,正是如此"
40,accommodation,"accommodation 設備,膳宿,旅館房間;容納,提供,適應;調解,妥協;貸款"
41,accurate,accurate (a.)准確的;精確的
42,adapter,"adapter 適配器,改編者適配器"
43,admire,"admire (vt.)贊美,欽佩,喜歡,愛慕"
44,advantageous,"advantageous (a.)有利的,有益的,方便的"
45,afford,"afford (vt.)提供;花費,負擔得起"
46,agreement,"agreement 同意,答應;商定,一致;協定,協議"
47,alarm,"alarm 警報,驚慌,警告(vt.)使驚慌,警告"
48,amusing,"amusing (a.)有趣的,引人發笑的"
49,anticipate,"anticipate (vt.)預期,佔先,提前使用"
50,applicant,"applicant 申請者,請求者"
51,appreciate,"appreciate (vt.)欣賞,鑒賞;正確評價,鑒別;感謝,感激"
52,approve,"approve (vt.)批准,通過;贊成,稱許(vi.)贊成,稱許"
53,arrange,"Arrange (vt.)整理,分類,排列;籌備,佈置,安排(vi.)安排;商定"
54,assignment,"assignment 任務,作業;分配,指定"
55,attend,"attend (vt.)出席,參加;照顧,護理;伴隨,陪伴(vi.)專心,注意;照顧,護理;伴隨,侍候"
56,authority,"authority U權,權力;U職權,權限;當局,官方;C權威"
57,awkward,"awkward (a.)笨拙的,不熟練的;使用不便的;尷尬的;難處理的"
58,accept,"accept (vt.)接受,相信,承兌(vi.)同意,承兌"
59,accomplish,"accomplish (vt.)完成,實現"
60,achieve,"achieve (vt.)完成;達到,取得,實現"
61,additional,"additional (a.)附加的,另外的"
62,admit,"admit (vt.)允許進入,承認,接納,容納(vi.)容許有,開向,承認"
63,advertise,"advertise (v.)做廣告,登廣告,發告示;宣傳,宣揚"
64,affordable,affordable (adj.)提供得起的
65,agricultural,agricultural (a.)農業的
66,allow,"allow (vt.)允許,同意給予,承認(vi.)考慮,體諒,容許"
67,analysis,"analysis 分解,分析,解析"
68,anxious,"anxious (a.)憂慮的,焦急的;渴望的,急要的"
69,application,"Application 申請,申請書;應用,用途;勤奮,勤勉 應用程式,(指供使用者完成某種任務的程式。FTP,mail以及Telnet 客戶程式都是網絡應用程式)"
