vocab_id,en_vocab,jp_vocab
1,ability,能力; のうりょく
2,accident,事故; じこ
3,accordingly,従って; したがって
4,actually,現に; げんに
5,adjustment,調整; ちょうせい
6,advanced,先進; せんしん
7,advise,知らせる; しらせる
8,agree,受け入れる; うけいれる
9,airline,航空券; こうくうけん
10,amend,変える; かえる
11,annoying,煩わしい; わずらわしい
12,appetizer,先付け; さきづけ
13,appointment,任命; にんめい
14,approach,近寄る; ちかよる
15,argue,論じる; ろんじる
16,assets,財産; ざいさん
17,attach,付ける; つける
18,audience,観客; かんきゃく
19,avoid,避ける; さける
20,abroad,海外; かいがい
21,accommodate,泊める; とめる
22,accounting,会計; かいけい
23,adapt,当てはめる; あてはめる
24,administration,行政; ぎょうせい
25,advantage,利点; りてん
26,affect,気取る; きどる
27,agreeable,快適; かいてき
28,aisle,通路; つうろ
29,amount,分量; ぶんりょう
30,annual,年次; ねんじ
31,appliance,機械; きかい
32,appreciable,
33,appropriate,適切; てきせつ
34,argument,議論; ぎろん
35,assign,充てる; あてる
36,attachment,執着; しゅうちゃく
37,audit,会計監査; かいけいかんさ
38,awareness,認識; にんしき
39,absolutely,絶対; ぜったい
40,accommodation,宿泊; しゅくはく
41,accurate,正確; せいかく
42,adapter,アダプター; アダプター
43,admire,褒める; ほめる
44,advantageous,有利; ゆうり
45,afford,与える; あたえる
46,agreement,一致; いっち
47,alarm,警報; けいほう
48,amusing,可笑しい; おか笑しい
49,anticipate,待つ; まつ
50,applicant,応募者; おうぼしゃ
51,appreciate,評価; ひょうか
52,approve,許す; ゆるす
53,arrange,生ける; いける
54,assignment,宿題; しゅくだい
55,attend,出席; しゅっせき
56,authority,権威; けんい
57,awkward,下手; へた手
58,accept,受け入れる; うけいれる
59,accomplish,遂げる; とげる
60,achieve,遂げる; とげる
61,additional,追加的; ついかてき
62,admit,入れる; いれる
63,advertise,広告; こうこく
64,affordable,お求め安い; おもとめやすい
65,agricultural,農用; のうよう
66,allow,許す; ゆるす
67,analysis,分析; ぶんせき
68,anxious,悩ましげ; なやましげ
69,application,申請; しんせい
70,appreciation,理解; りかい
71,approximate,近似; きんじ
72,arrangement,手配; てはい
73,assist,手伝う; てつだう
74,attendance,出席; しゅっせき
75,authorize,許可; きょか
76,access,アクセス; アクセス
77,accomplishment,遂行; すいこう
78,acquire,覚える; おぼえる
79,adequate,相応しい; ふさわ応しい
80,admittance,アドミタンス; アドミタンス
81,advertisement,広告; こうこく
82,agency,代理; だいり
83,aid,応援; おうえん
84,alternative,代替; だいたい
85,analyze / analyse,
86,apologize,謝る; あやまる
87,apply,付ける; つける
88,appreciative,知己; ちき
89,arbitrate,調停離婚; ちょうていりこん
90,assemble,集める; あつめる
91,assistance,援助; えんじょ
92,attentively,注意深く; ちゅういぶかく
93,availability,有効; ゆうこう
94,accessible,取っつきやすい; とっつきやすい
95,according,に依ると; によると
96,act,行為; こうい
97,adjust,繕う; つくろう
98,advance,前進; ぜんしん
99,advice,助言; じょげん
100,agenda,議題; ぎだい
101,aim,狙い; ねらい
102,ambitious,野心的; やしんてき
103,announcement,発表; はっぴょう
104,appeal,要請; ようせい
105,appoint,命じる; めいじる
106,apprentice,内弟子; うちでし
107,area,辺; へん
108,assess,評価; ひょうか
109,assume,就く; つく
110,attract,引きつける; ひきつける
111,available,提供; ていきょう
112,background,背景; はいけい
113,barcode,ＤＮＡバーコード; ＤＮＡバーコード
114,benefit,益; えき
115,block,町; まち
116,boost,高める; たかめる
117,brand,品種; ひんしゅ
118,brush,ブラシ; ブラシ
119,backpack,バックパック; バックパック
120,bargain,買い得; かいどく
121,beverage,飲み物; のみもの
122,board,板; いた
123,bored,詰まらなそう; つまらなそう
124,briefcase,鞄; かばん
125,budget,予算; よさん
126,baggage claim,合い符; あいふ
127,basic,基本的; きほんてき
128,bid,入札; にゅうさつ
129,boarding pass,ボーディングパス; ボーディングパス
130,borrow,借りる; かりる
131,briefing,訓示; くんじ
132,bulletin,掲示; けいじ
